,Smiling,Male,Young,Blond_Hair,Wearing_Hat
046067.jpg,-1,-1,1,-1,-1
173250.jpg,-1,1,1,-1,-1
021595.jpg,-1,-1,1,1,-1
025361.jpg,-1,-1,1,-1,-1
004856.jpg,-1,1,1,-1,-1
198822.jpg,-1,1,-1,-1,-1
119258.jpg,-1,1,1,-1,1
017114.jpg,-1,1,1,-1,-1
091188.jpg,-1,1,1,-1,-1
051578.jpg,-1,1,-1,-1,-1
168794.jpg,-1,1,1,-1,-1
052809.jpg,1,-1,1,-1,1
042457.jpg,1,-1,1,1,-1
112751.jpg,1,1,-1,-1,-1
160608.jpg,1,1,-1,-1,-1
049896.jpg,-1,-1,1,-1,-1
161702.jpg,-1,1,1,-1,-1
101995.jpg,1,1,1,-1,-1
139752.jpg,-1,1,1,-1,-1
088777.jpg,1,-1,1,-1,-1
179732.jpg,1,1,1,-1,-1
085373.jpg,1,-1,1,-1,-1
179103.jpg,-1,-1,-1,-1,-1
142023.jpg,1,-1,1,-1,-1
163065.jpg,1,-1,1,1,-1
056451.jpg,1,1,-1,-1,-1
160765.jpg,-1,-1,1,-1,1
163358.jpg,-1,1,-1,-1,-1
006663.jpg,-1,1,-1,-1,-1
088099.jpg,-1,-1,1,-1,1
028197.jpg,-1,1,1,-1,-1
134208.jpg,1,1,-1,-1,-1
175991.jpg,-1,1,1,1,-1
169610.jpg,1,-1,1,1,-1
013970.jpg,1,1,1,-1,-1
026651.jpg,-1,-1,1,-1,-1
094976.jpg,1,-1,1,-1,-1
088682.jpg,1,-1,1,1,-1
160155.jpg,-1,1,1,-1,-1
078393.jpg,1,1,1,-1,1
094037.jpg,-1,1,1,-1,-1
142541.jpg,1,1,1,-1,-1
053436.jpg,-1,1,1,-1,-1
043633.jpg,-1,-1,1,1,-1
010473.jpg,1,-1,1,-1,-1
071171.jpg,1,-1,1,-1,-1
103665.jpg,-1,-1,-1,-1,1
177825.jpg,1,-1,1,-1,-1
003383.jpg,-1,-1,1,-1,-1
088692.jpg,1,1,-1,-1,-1
153478.jpg,1,1,1,-1,-1
084346.jpg,-1,-1,1,-1,-1
087666.jpg,-1,1,1,-1,-1
127609.jpg,1,-1,1,-1,-1
154614.jpg,1,-1,1,-1,-1
088670.jpg,-1,-1,1,-1,-1
193412.jpg,-1,1,1,-1,-1
003300.jpg,-1,1,-1,-1,-1
167157.jpg,-1,1,-1,-1,-1
080040.jpg,-1,-1,1,-1,-1
019490.jpg,1,-1,-1,-1,-1
106219.jpg,1,-1,1,1,-1
055096.jpg,-1,1,1,-1,-1
173392.jpg,-1,1,-1,-1,1
160019.jpg,-1,1,1,-1,-1
113746.jpg,1,-1,1,-1,-1
057179.jpg,-1,1,1,-1,-1
069959.jpg,-1,-1,1,-1,-1
116976.jpg,-1,-1,1,-1,-1
100279.jpg,-1,1,1,-1,-1
071160.jpg,1,-1,1,-1,-1
157586.jpg,-1,-1,1,-1,-1
165364.jpg,-1,-1,1,-1,-1
197174.jpg,-1,1,-1,-1,-1
200140.jpg,-1,1,1,-1,-1
033098.jpg,1,-1,1,-1,-1
076403.jpg,-1,1,1,-1,-1
096557.jpg,1,-1,1,-1,-1
027167.jpg,1,1,-1,-1,-1
116864.jpg,-1,1,-1,-1,-1
180199.jpg,-1,-1,1,-1,-1
044146.jpg,-1,-1,1,-1,-1
118670.jpg,-1,-1,1,-1,-1
173987.jpg,1,-1,1,-1,-1
079918.jpg,-1,-1,1,1,-1
030943.jpg,1,-1,1,1,-1
085132.jpg,1,-1,1,-1,-1
164450.jpg,-1,1,1,-1,-1
067226.jpg,1,-1,-1,-1,-1
031135.jpg,1,-1,1,-1,-1
121851.jpg,1,1,1,-1,-1
103310.jpg,-1,1,1,-1,-1
166632.jpg,1,1,-1,-1,-1
201033.jpg,-1,1,1,-1,-1
060828.jpg,-1,-1,1,1,-1
141494.jpg,-1,-1,1,-1,-1
101989.jpg,1,-1,1,-1,-1
037508.jpg,-1,-1,1,-1,-1
145592.jpg,-1,1,1,-1,-1
150482.jpg,1,1,-1,-1,-1
141705.jpg,-1,1,1,-1,-1
043333.jpg,-1,-1,1,-1,-1
055585.jpg,1,-1,-1,1,-1
081613.jpg,-1,1,1,-1,-1
185217.jpg,1,-1,1,-1,-1
181890.jpg,-1,-1,1,-1,-1
008053.jpg,-1,1,1,-1,-1
176105.jpg,1,-1,1,-1,-1
077327.jpg,1,1,-1,-1,-1
201769.jpg,-1,1,1,-1,-1
064524.jpg,-1,-1,1,1,-1
169501.jpg,-1,1,1,-1,-1
075393.jpg,1,-1,1,1,-1
152155.jpg,-1,1,-1,-1,-1
100097.jpg,1,1,-1,-1,1
162836.jpg,1,1,1,-1,-1
102060.jpg,1,-1,1,-1,-1
060692.jpg,-1,-1,1,1,-1
027694.jpg,-1,-1,1,-1,-1
166431.jpg,-1,1,-1,-1,-1
077870.jpg,1,-1,1,-1,-1
165181.jpg,-1,1,1,-1,-1
079334.jpg,-1,1,-1,-1,-1
133563.jpg,1,-1,1,-1,-1
054569.jpg,1,1,1,-1,-1
120390.jpg,1,-1,1,1,-1
004980.jpg,1,-1,1,-1,-1
068724.jpg,1,-1,1,1,-1
127218.jpg,-1,1,-1,-1,-1
116562.jpg,-1,-1,1,-1,-1
045367.jpg,-1,-1,1,-1,1
012790.jpg,1,1,1,-1,-1
062570.jpg,-1,1,-1,-1,-1
090713.jpg,1,-1,1,-1,-1
073976.jpg,-1,-1,1,-1,-1
085169.jpg,-1,-1,1,-1,-1
019320.jpg,1,1,1,-1,-1
031111.jpg,1,-1,1,1,-1
035793.jpg,1,-1,1,-1,-1
072939.jpg,-1,1,1,-1,-1
065845.jpg,1,1,1,-1,-1
170631.jpg,-1,-1,1,1,-1
007817.jpg,-1,-1,1,-1,-1
060687.jpg,-1,1,1,-1,-1
106866.jpg,1,-1,1,-1,-1
178342.jpg,-1,-1,1,-1,-1
127516.jpg,-1,1,-1,-1,-1
016164.jpg,1,-1,1,-1,-1
041657.jpg,1,-1,1,-1,-1
096439.jpg,1,-1,1,1,-1
198413.jpg,-1,1,1,-1,-1
061428.jpg,-1,1,1,-1,-1
099534.jpg,-1,1,-1,-1,-1
154208.jpg,1,-1,1,-1,-1
186039.jpg,1,-1,1,-1,-1
039673.jpg,-1,1,-1,-1,-1
022342.jpg,1,-1,1,1,-1
140804.jpg,1,1,1,-1,-1
045251.jpg,1,1,1,-1,-1
086928.jpg,1,1,-1,-1,1
043244.jpg,1,1,1,-1,-1
143626.jpg,-1,1,-1,-1,-1
000286.jpg,1,1,1,-1,-1
105699.jpg,1,1,-1,-1,-1
180154.jpg,-1,-1,1,-1,-1
114867.jpg,1,-1,1,1,-1
155038.jpg,-1,-1,1,-1,-1
157316.jpg,1,-1,-1,-1,-1
109775.jpg,1,1,-1,-1,-1
119698.jpg,-1,-1,1,1,-1
111618.jpg,-1,-1,1,-1,-1
068877.jpg,-1,-1,1,-1,-1
168166.jpg,-1,1,1,-1,-1
015070.jpg,-1,1,1,-1,-1
060420.jpg,-1,1,1,-1,-1
129390.jpg,1,-1,-1,1,-1
088929.jpg,1,-1,1,1,-1
014606.jpg,1,-1,1,1,-1
092262.jpg,-1,-1,-1,-1,-1
152181.jpg,-1,-1,-1,-1,-1
008493.jpg,-1,1,1,-1,-1
063840.jpg,-1,-1,1,-1,-1
007816.jpg,-1,-1,1,-1,-1
174410.jpg,-1,1,1,-1,-1
089549.jpg,-1,-1,1,-1,-1
116696.jpg,1,-1,1,-1,-1
123975.jpg,1,1,1,-1,-1
059144.jpg,-1,-1,1,-1,-1
029209.jpg,-1,1,1,-1,-1
018297.jpg,1,1,-1,-1,-1
127083.jpg,-1,1,1,-1,-1
182673.jpg,-1,1,1,-1,-1
179164.jpg,-1,1,-1,-1,-1
039480.jpg,-1,1,-1,-1,-1
042696.jpg,-1,1,-1,-1,-1
088410.jpg,1,1,-1,-1,-1
016902.jpg,-1,1,1,-1,-1
136925.jpg,1,-1,1,1,-1
047440.jpg,-1,-1,1,-1,-1
054568.jpg,-1,-1,1,-1,-1
052164.jpg,1,-1,1,-1,-1
073432.jpg,1,1,1,-1,-1
076333.jpg,1,1,1,-1,-1
127031.jpg,-1,-1,1,-1,1
007802.jpg,-1,1,1,-1,-1
008278.jpg,-1,-1,1,-1,-1
147283.jpg,1,1,-1,-1,1
025368.jpg,1,1,1,-1,-1
019895.jpg,1,-1,1,1,-1
084164.jpg,1,1,-1,-1,-1
032848.jpg,1,-1,1,1,-1
058097.jpg,1,-1,1,-1,-1
164626.jpg,1,1,1,-1,-1
034940.jpg,1,-1,1,-1,-1
171555.jpg,1,-1,1,-1,-1
179727.jpg,-1,1,1,-1,-1
036573.jpg,1,-1,1,1,-1
028908.jpg,1,-1,1,-1,-1
021704.jpg,1,-1,1,1,-1
162474.jpg,-1,1,-1,-1,-1
017055.jpg,-1,1,1,-1,-1
096594.jpg,-1,-1,1,-1,1
169076.jpg,1,-1,1,1,-1
163251.jpg,-1,1,1,-1,-1
121345.jpg,1,-1,1,1,-1
033020.jpg,1,-1,1,1,-1
007963.jpg,-1,1,-1,-1,1
092895.jpg,-1,1,-1,1,-1
099655.jpg,1,-1,1,1,-1
157502.jpg,-1,-1,1,1,-1
059916.jpg,-1,1,1,-1,-1
043196.jpg,-1,-1,1,-1,-1
139872.jpg,1,1,1,-1,-1
086867.jpg,-1,1,-1,-1,-1
162947.jpg,1,1,1,-1,-1
154587.jpg,-1,-1,1,-1,-1
192269.jpg,-1,-1,1,1,-1
105257.jpg,-1,-1,-1,-1,-1
128114.jpg,-1,1,-1,-1,-1
079979.jpg,-1,1,-1,-1,-1
085606.jpg,1,-1,1,-1,-1
045861.jpg,1,1,1,-1,-1
032237.jpg,-1,-1,1,-1,-1
077210.jpg,-1,-1,1,1,-1
153066.jpg,-1,-1,1,1,-1
051060.jpg,1,1,-1,-1,-1
075575.jpg,1,-1,1,-1,-1
064640.jpg,-1,-1,1,-1,-1
088474.jpg,-1,1,1,-1,1
031682.jpg,-1,-1,1,-1,-1
008292.jpg,1,-1,1,-1,-1
155274.jpg,-1,1,1,-1,-1
137886.jpg,-1,-1,1,1,-1
162661.jpg,1,-1,1,-1,-1
173057.jpg,1,1,-1,-1,-1
091844.jpg,-1,1,-1,-1,-1
186724.jpg,-1,1,1,-1,-1
123060.jpg,-1,1,1,-1,-1
091891.jpg,-1,1,1,-1,1
006214.jpg,1,1,1,-1,1
164246.jpg,-1,1,-1,-1,-1
116095.jpg,1,1,1,-1,-1
070315.jpg,-1,-1,1,-1,-1
150546.jpg,-1,1,-1,-1,-1
042010.jpg,1,-1,1,1,-1
174941.jpg,-1,1,1,-1,-1
104852.jpg,1,-1,1,-1,-1
071276.jpg,1,-1,-1,1,-1
082336.jpg,-1,-1,1,-1,-1
125029.jpg,-1,-1,1,-1,-1
054367.jpg,-1,-1,1,-1,-1
085445.jpg,1,1,1,-1,-1
064410.jpg,-1,-1,-1,-1,-1
182104.jpg,1,-1,-1,1,-1
197395.jpg,-1,-1,1,-1,-1
167762.jpg,1,1,1,-1,-1
178745.jpg,-1,-1,1,-1,-1
180016.jpg,-1,1,1,-1,1
012071.jpg,-1,1,1,-1,-1
154062.jpg,-1,1,1,-1,-1
200958.jpg,1,1,1,-1,-1
074019.jpg,-1,1,-1,-1,-1
001749.jpg,-1,1,-1,-1,-1
009109.jpg,-1,1,1,-1,-1
069759.jpg,1,-1,1,-1,-1
046743.jpg,-1,1,-1,-1,-1
014652.jpg,1,1,1,-1,-1
126018.jpg,-1,-1,-1,1,-1
164049.jpg,1,-1,1,1,-1
139681.jpg,1,1,1,-1,1
200608.jpg,1,-1,1,1,-1
036235.jpg,1,-1,1,-1,-1
119770.jpg,1,-1,1,-1,-1
176298.jpg,1,-1,1,-1,-1
152427.jpg,-1,-1,1,-1,-1
066665.jpg,1,-1,1,-1,-1
062436.jpg,-1,1,1,-1,-1
074587.jpg,-1,1,-1,-1,-1
045083.jpg,1,1,1,-1,-1
193163.jpg,-1,1,-1,-1,-1
087907.jpg,-1,-1,1,-1,-1
182637.jpg,-1,1,1,-1,-1
159024.jpg,1,1,-1,-1,-1
127984.jpg,1,-1,1,-1,-1
132349.jpg,1,-1,-1,1,-1
148638.jpg,1,1,1,-1,-1
120810.jpg,1,-1,1,-1,-1
108246.jpg,-1,-1,1,-1,-1
112102.jpg,-1,1,1,-1,-1
020382.jpg,1,1,-1,-1,-1
006313.jpg,-1,-1,1,-1,-1
058949.jpg,-1,-1,-1,-1,1
178414.jpg,1,-1,-1,-1,-1
055896.jpg,-1,1,-1,-1,-1
013100.jpg,1,-1,1,1,-1
035523.jpg,-1,-1,1,-1,-1
053084.jpg,1,-1,-1,-1,-1
071001.jpg,-1,1,-1,-1,-1
056402.jpg,-1,-1,1,-1,-1
095439.jpg,1,-1,-1,-1,-1
007609.jpg,-1,-1,1,-1,-1
174686.jpg,1,-1,1,-1,-1
107887.jpg,-1,1,1,-1,-1
165559.jpg,-1,1,-1,-1,-1
036800.jpg,-1,-1,1,-1,-1
148768.jpg,1,-1,1,-1,-1
063860.jpg,1,-1,-1,1,-1
008791.jpg,-1,-1,1,-1,-1
199817.jpg,1,-1,1,-1,-1
189476.jpg,1,1,1,-1,-1
083790.jpg,-1,-1,1,-1,-1
025749.jpg,1,-1,1,-1,-1
096392.jpg,1,-1,1,-1,-1
127534.jpg,1,1,-1,-1,-1
111863.jpg,1,1,-1,-1,-1
138931.jpg,-1,-1,1,-1,1
151052.jpg,-1,1,1,-1,-1
089145.jpg,-1,1,1,-1,-1
086284.jpg,1,1,1,-1,-1
126873.jpg,-1,-1,-1,-1,-1
143857.jpg,1,-1,1,1,-1
156340.jpg,1,-1,1,1,-1
156469.jpg,-1,1,1,-1,1
072356.jpg,1,-1,1,-1,-1
046718.jpg,-1,1,1,-1,-1
152782.jpg,1,-1,-1,1,-1
158258.jpg,-1,-1,1,-1,-1
046218.jpg,-1,-1,1,1,-1
106224.jpg,-1,-1,1,-1,-1
151897.jpg,1,-1,1,-1,-1
182214.jpg,-1,-1,-1,1,-1
021083.jpg,-1,1,-1,-1,-1
059706.jpg,-1,-1,1,1,-1
120883.jpg,-1,-1,-1,1,-1
129506.jpg,1,-1,1,1,-1
040952.jpg,-1,1,-1,-1,-1
054958.jpg,1,-1,1,1,-1
045317.jpg,-1,1,-1,-1,-1
116187.jpg,1,-1,1,1,-1
129022.jpg,1,1,-1,-1,-1
200323.jpg,1,-1,-1,-1,-1
023466.jpg,-1,1,1,-1,-1
083831.jpg,-1,-1,1,-1,-1
138694.jpg,-1,-1,1,-1,-1
085859.jpg,-1,1,1,-1,-1
046534.jpg,-1,-1,1,-1,-1
076393.jpg,1,-1,1,-1,-1
140411.jpg,-1,-1,1,-1,-1
004831.jpg,-1,-1,-1,-1,-1
125526.jpg,1,-1,1,-1,-1
027086.jpg,1,-1,1,-1,-1
049659.jpg,-1,-1,1,-1,-1
083697.jpg,1,-1,1,-1,-1
117656.jpg,1,1,-1,-1,-1
005628.jpg,-1,1,-1,-1,-1
101920.jpg,-1,1,1,-1,-1
016283.jpg,-1,1,1,-1,-1
133403.jpg,-1,1,-1,-1,-1
036079.jpg,-1,-1,1,-1,-1
180685.jpg,1,-1,1,-1,-1
132369.jpg,-1,1,1,-1,1
159588.jpg,1,1,1,-1,-1
060907.jpg,1,-1,1,-1,-1
023670.jpg,1,1,1,-1,-1
129274.jpg,-1,1,-1,-1,-1
090139.jpg,1,-1,1,-1,-1
183982.jpg,-1,-1,1,-1,-1
150069.jpg,1,1,1,-1,-1
156025.jpg,1,-1,-1,1,-1
173045.jpg,1,1,1,-1,-1
177086.jpg,-1,1,1,-1,-1
040045.jpg,1,-1,-1,-1,-1
099809.jpg,1,1,1,-1,-1
180648.jpg,1,-1,1,-1,-1
065004.jpg,-1,-1,1,-1,-1
028086.jpg,1,1,1,-1,-1
146226.jpg,1,-1,1,-1,-1
072511.jpg,1,1,-1,-1,-1
065233.jpg,-1,-1,1,-1,-1
108061.jpg,-1,-1,1,-1,-1
095419.jpg,-1,1,-1,-1,-1
201653.jpg,1,-1,1,-1,-1
038837.jpg,-1,-1,1,1,-1
171225.jpg,-1,-1,1,-1,-1
188877.jpg,1,-1,1,-1,-1
134251.jpg,-1,1,1,-1,-1
130151.jpg,1,1,-1,-1,-1
144782.jpg,1,-1,1,-1,-1
084956.jpg,-1,-1,1,-1,-1
142829.jpg,1,-1,1,-1,-1
161033.jpg,-1,-1,-1,-1,-1
009656.jpg,-1,1,1,-1,-1
129078.jpg,1,1,1,-1,-1
137744.jpg,1,-1,1,-1,-1
056213.jpg,1,-1,1,-1,-1
016671.jpg,1,-1,1,1,-1
144982.jpg,1,-1,-1,1,-1
094666.jpg,-1,1,1,-1,-1
146548.jpg,1,-1,1,1,-1
096834.jpg,-1,-1,1,-1,1
121342.jpg,1,-1,1,-1,-1
186045.jpg,1,-1,1,-1,-1
146646.jpg,-1,1,-1,-1,1
143562.jpg,-1,-1,1,-1,-1
143966.jpg,1,1,1,-1,-1
058310.jpg,-1,1,1,-1,-1
197463.jpg,1,-1,1,-1,-1
002380.jpg,1,-1,1,1,-1
092987.jpg,1,-1,1,1,-1
023948.jpg,1,-1,1,-1,-1
066143.jpg,-1,-1,1,-1,-1
006102.jpg,1,1,-1,-1,-1
011334.jpg,1,-1,1,-1,-1
117809.jpg,-1,1,-1,-1,-1
091738.jpg,1,1,1,-1,-1
054550.jpg,1,-1,-1,-1,-1
026686.jpg,1,-1,1,-1,-1
165809.jpg,1,-1,1,1,-1
199771.jpg,-1,1,-1,-1,-1
141943.jpg,-1,-1,1,-1,-1
027734.jpg,-1,-1,1,-1,-1
200533.jpg,-1,-1,1,-1,-1
054054.jpg,-1,-1,1,-1,-1
144411.jpg,-1,-1,1,-1,-1
156343.jpg,-1,1,1,-1,-1
003427.jpg,1,-1,1,-1,-1
155964.jpg,-1,-1,1,-1,-1
106366.jpg,-1,1,1,-1,-1
174025.jpg,1,-1,1,-1,-1
116419.jpg,-1,-1,1,-1,-1
168149.jpg,1,1,1,-1,1
022033.jpg,1,-1,-1,-1,-1
123834.jpg,-1,-1,-1,-1,-1
059491.jpg,-1,1,-1,-1,-1
037649.jpg,-1,-1,-1,-1,-1
112589.jpg,1,1,-1,-1,-1
040758.jpg,-1,-1,1,-1,-1
168178.jpg,1,-1,1,-1,-1
118936.jpg,-1,1,-1,-1,-1
037523.jpg,-1,1,1,-1,-1
000102.jpg,-1,1,1,-1,-1
135380.jpg,-1,-1,1,-1,-1
118131.jpg,-1,-1,1,-1,-1
119323.jpg,1,-1,1,1,-1
164683.jpg,-1,1,-1,-1,-1
190389.jpg,-1,1,1,-1,-1
113669.jpg,1,-1,1,-1,-1
066788.jpg,-1,-1,-1,-1,-1
098513.jpg,1,-1,1,-1,-1
162748.jpg,-1,1,1,-1,-1
071945.jpg,1,-1,1,-1,-1
112682.jpg,-1,1,1,-1,-1
182368.jpg,-1,-1,1,-1,-1
155718.jpg,-1,-1,1,-1,-1
202019.jpg,-1,1,1,-1,-1
158311.jpg,1,-1,1,-1,-1
036597.jpg,1,-1,1,1,-1
060374.jpg,-1,-1,1,1,-1
088884.jpg,1,-1,1,-1,-1
079185.jpg,1,-1,-1,-1,-1
187750.jpg,1,-1,1,-1,-1
079555.jpg,1,-1,1,1,-1
072642.jpg,-1,-1,1,1,-1
155442.jpg,1,1,-1,-1,-1
100620.jpg,1,-1,1,-1,-1
102358.jpg,-1,1,1,-1,1
185566.jpg,1,-1,1,-1,-1
072020.jpg,1,-1,1,1,-1
165524.jpg,1,-1,1,1,-1
050468.jpg,1,1,1,-1,-1
109560.jpg,1,-1,1,-1,-1
140460.jpg,-1,-1,1,-1,-1
063666.jpg,1,-1,-1,1,-1
068564.jpg,1,-1,1,-1,-1
202050.jpg,-1,-1,1,-1,1
174612.jpg,-1,1,-1,-1,-1
189924.jpg,1,-1,1,-1,-1
108081.jpg,-1,-1,1,-1,-1
196176.jpg,-1,1,1,-1,-1
051816.jpg,-1,1,1,-1,-1
099352.jpg,-1,-1,1,-1,-1
076931.jpg,-1,1,-1,-1,-1
172054.jpg,1,1,-1,-1,-1
032020.jpg,-1,1,1,-1,-1
057093.jpg,-1,1,-1,-1,-1
202303.jpg,1,-1,1,-1,-1
065928.jpg,-1,-1,1,-1,-1
168336.jpg,-1,1,1,-1,-1
132936.jpg,-1,1,-1,-1,-1
179242.jpg,1,1,1,-1,-1
095892.jpg,1,1,1,-1,-1
143599.jpg,-1,1,1,1,-1
149826.jpg,1,-1,1,-1,-1
195506.jpg,1,-1,1,-1,-1
110024.jpg,1,1,1,-1,-1
037284.jpg,-1,-1,1,1,-1
081752.jpg,-1,-1,1,1,-1
002816.jpg,1,1,1,-1,-1
064538.jpg,1,1,1,-1,-1
135410.jpg,-1,-1,1,1,-1
100082.jpg,-1,1,1,-1,1
002499.jpg,1,-1,-1,1,-1
035191.jpg,-1,-1,1,1,-1
096209.jpg,-1,-1,1,-1,-1
180545.jpg,1,-1,1,-1,-1
090260.jpg,1,1,1,-1,-1
072094.jpg,1,-1,1,1,-1
031065.jpg,-1,1,1,-1,-1
067158.jpg,-1,1,1,-1,-1
052781.jpg,-1,1,-1,-1,-1
132615.jpg,-1,1,-1,-1,-1
023921.jpg,-1,1,1,-1,-1
168182.jpg,-1,1,1,-1,-1
046308.jpg,1,-1,1,-1,-1
167088.jpg,-1,-1,1,1,-1
080826.jpg,-1,-1,-1,-1,-1
104737.jpg,1,1,1,-1,-1
074121.jpg,1,-1,1,-1,-1
011513.jpg,-1,-1,1,-1,-1
177496.jpg,1,-1,1,-1,-1
096395.jpg,-1,-1,1,-1,-1
141910.jpg,-1,1,1,-1,-1
021520.jpg,-1,-1,1,-1,-1
093896.jpg,-1,-1,1,1,-1
127748.jpg,-1,-1,1,1,-1
102259.jpg,1,-1,1,-1,-1
037524.jpg,1,-1,1,-1,-1
081221.jpg,1,1,1,-1,-1
085301.jpg,1,-1,-1,1,-1
193127.jpg,-1,-1,1,-1,-1
082697.jpg,-1,1,-1,1,-1
027666.jpg,-1,-1,1,-1,-1
183608.jpg,-1,-1,1,-1,-1
110528.jpg,-1,-1,1,-1,-1
118283.jpg,-1,-1,-1,-1,-1
186136.jpg,1,-1,-1,-1,-1
097722.jpg,-1,1,1,-1,-1
050406.jpg,-1,-1,1,-1,-1
080588.jpg,1,-1,1,-1,-1
122240.jpg,-1,-1,1,1,-1
085278.jpg,1,1,1,-1,-1
001412.jpg,-1,-1,1,-1,-1
069404.jpg,-1,1,1,-1,-1
152534.jpg,-1,1,-1,-1,-1
066828.jpg,1,-1,1,-1,-1
156757.jpg,-1,-1,1,-1,-1
179661.jpg,1,-1,1,-1,-1
122494.jpg,1,-1,1,-1,-1
105787.jpg,-1,1,-1,-1,1
079524.jpg,1,-1,1,-1,-1
154163.jpg,-1,-1,1,-1,-1
171620.jpg,1,-1,-1,-1,-1
160538.jpg,-1,1,1,-1,-1
036047.jpg,1,-1,1,-1,-1
046140.jpg,1,-1,1,-1,-1
169572.jpg,1,-1,1,-1,-1
146064.jpg,-1,1,-1,-1,-1
187359.jpg,1,-1,1,-1,-1
121225.jpg,1,-1,1,-1,-1
156099.jpg,-1,1,-1,-1,-1
016436.jpg,1,-1,1,-1,-1
105282.jpg,-1,-1,1,-1,-1
012409.jpg,-1,1,-1,-1,1
182510.jpg,1,-1,-1,1,-1
130469.jpg,1,-1,1,-1,-1
137616.jpg,-1,1,1,-1,-1
107662.jpg,1,-1,1,-1,-1
045929.jpg,1,-1,1,-1,1
088155.jpg,-1,-1,1,-1,-1
190577.jpg,-1,1,1,-1,-1
143496.jpg,-1,-1,1,-1,-1
051041.jpg,1,-1,1,-1,-1
089886.jpg,1,-1,1,-1,-1
183167.jpg,1,-1,1,-1,-1
073065.jpg,-1,1,1,-1,1
063782.jpg,1,-1,1,-1,-1
031973.jpg,-1,1,1,-1,-1
147303.jpg,-1,-1,-1,1,-1
149581.jpg,-1,-1,1,-1,-1
177327.jpg,1,1,1,-1,-1
088660.jpg,-1,-1,1,-1,-1
030143.jpg,1,-1,1,-1,-1
126333.jpg,-1,-1,1,-1,-1
052317.jpg,-1,1,-1,-1,-1
071052.jpg,-1,-1,1,-1,-1
076097.jpg,-1,1,1,-1,-1
163754.jpg,-1,-1,-1,-1,-1
008114.jpg,1,-1,1,-1,-1
166943.jpg,-1,-1,1,-1,-1
093373.jpg,1,-1,1,-1,-1
185496.jpg,-1,1,1,-1,-1
129785.jpg,-1,1,1,-1,-1
072498.jpg,1,-1,1,-1,-1
117044.jpg,-1,-1,1,-1,-1
118766.jpg,1,-1,1,-1,-1
170564.jpg,-1,1,-1,-1,-1
092148.jpg,1,-1,1,-1,-1
131259.jpg,-1,1,1,-1,-1
091246.jpg,-1,1,-1,-1,-1
076453.jpg,1,1,1,-1,-1
142296.jpg,1,-1,1,-1,-1
091624.jpg,1,-1,-1,1,-1
012081.jpg,-1,-1,1,1,-1
075097.jpg,-1,1,-1,-1,1
194547.jpg,-1,-1,1,-1,-1
030856.jpg,1,-1,-1,1,-1
095001.jpg,-1,-1,1,-1,-1
100594.jpg,1,-1,1,-1,-1
080830.jpg,-1,-1,1,1,-1
093704.jpg,1,1,1,-1,-1
122568.jpg,-1,1,1,-1,-1
128348.jpg,-1,-1,1,-1,-1
005527.jpg,1,1,-1,-1,-1
035522.jpg,-1,-1,-1,-1,-1
091637.jpg,1,-1,-1,1,-1
146447.jpg,1,-1,1,1,-1
161609.jpg,-1,1,-1,-1,-1
116869.jpg,1,-1,1,-1,-1
089704.jpg,-1,-1,1,-1,-1
083907.jpg,-1,1,1,-1,-1
106543.jpg,1,-1,-1,1,-1
125271.jpg,1,-1,1,-1,-1
